! d1b Date 17-Nov-11 Time 14:07:33 Run 130589 > 130592
! orf   brah  La2CoMnO6_300K  
!
! Created: Thu Nov 17 15:41:15 2011
! fullprof : INSTR=10
! Wave lenght 
! 2.520
! Monitor/counts   Counting time/sec 
!        5387923.   3600000.0
! Temperature: Sample, Regulation, Requested 
!            298.931     300.008     300.000
!  angle  counts   sigma (F9.3,F15.3,F9.2)
    0.790          6.000         2.4495
    0.890          3.000         1.7321
    0.990        742.000        27.2397
    1.090        755.000        27.4773
    1.190        691.000        26.2869
    1.290        649.000        25.4755
    1.390        656.000        25.6125
    1.490        717.000        26.7769
    1.590        747.000        27.3313
    1.690        734.000        27.0924
    1.790       1007.000        31.7333
    1.890       1469.000        38.3275
    1.990       2368.000        48.6621
    2.090       3129.000        55.9375
    2.190       3884.000        62.3217
    2.290       4985.000        70.6045
    2.390       6303.000        79.3914
    2.490       7682.000        87.6470
    2.590       8952.000        94.6150
    2.690      10361.000       101.7890
    2.790      11427.000       106.8971
    2.890      12297.000       110.8918
    2.990      13262.000       115.1608
    3.090      14387.000       119.9458
    3.190      15541.000       124.6635
    3.290      15945.000       126.2735
    3.390      16103.000       126.8976
    3.490      15910.000       126.1348
    3.590      15876.000       126.0000
    3.690      15290.000       123.6527
    3.790      15210.000       123.3288
    3.890      15307.000       123.7215
    3.990      14984.000       122.4091
    4.090      15073.000       122.7721
    4.190      14978.000       122.3846
    4.290      15025.000       122.5765
    4.390      14935.000       122.2088
    4.490      15325.000       123.7942
    4.590      15631.000       125.0240
    4.690      16134.000       127.0197
    4.790      16492.000       128.4212
    4.890      16973.000       130.2805
    4.990      17572.000       132.5594
    5.090      18007.000       134.1902
    5.190      18589.000       136.3415
    5.290      19284.000       138.8668
    5.390      19827.000       140.8084
    5.490      20118.000       141.8379
    5.590      20714.000       143.9236
    5.690      21405.000       146.3045
    5.790      21809.000       147.6787
    5.890      22134.000       148.7750
    5.990      22818.000       151.0563
    6.090      23390.000       152.9379
    6.190      23617.000       153.6782
    6.290      23374.000       152.8856
    6.390      23598.000       153.6164
    6.490      23481.000       153.2351
    6.590      23542.000       153.4340
    6.690      23221.000       152.3844
    6.790      23062.000       151.8618
    6.890      22954.000       151.5058
    6.990      22780.000       150.9305
    7.090      22361.000       149.5359
    7.190      22152.000       148.8355
    7.290      21904.000       148.0000
    7.390      21615.000       147.0204
    7.490      21286.000       145.8972
    7.590      21040.000       145.0517
    7.690      20610.000       143.5618
    7.790      20278.000       142.4008
    7.890      19936.000       141.1949
    7.990      19897.000       141.0567
    8.090      19367.000       139.1654
    8.190      19010.000       137.8768
    8.290      18929.000       137.5827
    8.390      18284.000       135.2183
    8.490      18272.000       135.1740
    8.590      17852.000       133.6114
    8.690      17724.000       133.1315
    8.790      17030.000       130.4990
    8.890      16769.000       129.4952
    8.990      16484.000       128.3900
    9.090      16493.000       128.4251
    9.190      16117.000       126.9527
    9.290      15706.000       125.3236
    9.390      15576.000       124.8038
    9.490      15316.000       123.7578
    9.590      14832.000       121.7867
    9.690      14281.000       119.5031
    9.790      14175.000       119.0588
    9.890      13806.000       117.4989
    9.990      13411.000       115.8059
   10.090      13271.000       115.1998
   10.190      12955.000       113.8200
   10.290      12644.000       112.4455
   10.390      12422.000       111.4540
   10.490      12024.000       109.6540
   10.590      11876.000       108.9771
   10.690      11863.000       108.9174
   10.790      11570.000       107.5639
   10.890      11431.000       106.9159
   10.990      11323.000       106.4096
   11.090      11371.000       106.6349
   11.190      11171.000       105.6930
   11.290      11183.000       105.7497
   11.390      11181.000       105.7402
   11.490      10872.000       104.2689
   11.590      11139.000       105.5415
   11.690      10978.000       104.7760
   11.790      10945.000       104.6184
   11.890      10983.000       104.7998
   11.990      10935.000       104.5705
   12.090      11192.000       105.7923
   12.190      11049.000       105.1142
   12.290      10969.000       104.7330
   12.390      10883.000       104.3216
   12.490      10916.000       104.4797
   12.590      10946.000       104.6231
   12.690      10933.000       104.5610
   12.790      10878.000       104.2977
   12.890      11038.000       105.0619
   12.990      10690.000       103.3925
   13.090      10856.000       104.1921
   13.190      10904.000       104.4222
   13.290      10988.000       104.8237
   13.390      10882.000       104.3168
   13.490      10647.000       103.1843
   13.590      10846.000       104.1441
   13.690      10903.000       104.4174
   13.790      10883.000       104.3216
   13.890      10920.000       104.4988
   13.990      10718.000       103.5278
   14.090      11036.000       105.0524
   14.190      10887.000       104.3408
   14.290      10528.000       102.6060
   14.390      10880.000       104.3072
   14.490      10979.000       104.7807
   14.590      10843.000       104.1297
   14.690      10891.000       104.3600
   14.790      10710.000       103.4891
   14.890      10948.000       104.6327
   14.990      10907.000       104.4366
   15.090      10884.000       104.3264
   15.190      10680.000       103.3441
   15.290      10842.000       104.1249
   15.390      10685.000       103.3683
   15.490      10617.000       103.0388
   15.590      10671.000       103.3005
   15.690      10652.000       103.2085
   15.790      10808.000       103.9615
   15.890      10729.000       103.5809
   15.990      10959.000       104.6852
   16.090      10871.000       104.2641
   16.190      10651.000       103.2037
   16.290      10657.000       103.2327
   16.390      10624.000       103.0728
   16.490      10628.000       103.0922
   16.590      10721.000       103.5423
   16.690      10796.000       103.9038
   16.790      10729.000       103.5809
   16.890      10890.000       104.3552
   16.990      10595.000       102.9320
   17.090      10818.000       104.0096
   17.190      10882.000       104.3168
   17.290      10895.000       104.3791
   17.390      10857.000       104.1969
   17.490      10663.000       103.2618
   17.590      10722.000       103.5471
   17.690      10586.000       102.8883
   17.790      10959.000       104.6852
   17.890      10808.000       103.9615
   17.990      10754.000       103.7015
   18.090      10692.000       103.4021
   18.190      10994.000       104.8523
   18.290      10804.000       103.9423
   18.390      10814.000       103.9904
   18.490      11007.000       104.9143
   18.590      11016.000       104.9571
   18.690      11094.000       105.3281
   18.790      11009.000       104.9238
   18.890      10832.000       104.0769
   18.990      10756.000       103.7111
